Title,Address,Latitude,Longitude,Found Address,Match Quality,Source
HOPKINTON TOWN LIBRARY,"61 Houston Dr, Contoocook, NH 03229, USA",43.223245,-71.72023,"61 Houston Dr, Contoocook, NH 03229, USA",Match,Google
WAKE COUNTY PUBLIC LIBRARY,"1930 Clark Ave, Raleigh, NC 27605, USA",35.789611,-78.6579744,"1930 Clark Ave, Raleigh, NC 27605, USA",Match,Google
CONCORDIA COLLEGE,"901 8th St S, Moorhead, MN 56562, USA",46.8628042,-96.7700579,"901 8th St S, Moorhead, MN 56562, USA",Match,Google
ALBANY MOLECULAR RESEARCH INC.,"26 Corporate Cir, Albany, NY 12203, USA",42.703206,-73.8746138,"26 Corporate Cir, Albany, NY 12203, USA",Match,Google
BLACK WATCH MEMORIAL LIBRARY,"99 Montcalm St, Ticonderoga, NY 12883, USA",43.848874,-73.425329,"99 Montcalm St, Ticonderoga, NY 12883, USA",Match,Google
NEW YORK STATE LIBRARY,"222 Madison Ave, Seventh Floor, Albany, NY 12230, United States",42.648614,-73.761391,"222 Madison Ave, Seventh Floor, Albany, NY 12230, United States",Match,Google
HOLY TRINITY ORTHODOX SEMINARY LIBRARY,"1072 County Rd 46, Mohawk, NY 13407, USA",42.9276619,-74.9356279,"1072 County Rd 46, Mohawk, NY 13407, USA",Match,Google
NEW YORK PUBLIC LIBRARY,"476 5th Ave, New York, NY 10018, USA",40.7531823,-73.9822534,"476 5th Ave, New York, NY 10018, USA",Match,Google
NYS OFFICE OF THE ATTORNEY GENERAL LIBRARY,"3 E Pulteney Square, Bath, NY 14810, USA",42.3324756,-77.3177285,"3 E Pulteney Square, Bath, NY 14810, USA",Match,Google
ONSLOW COUNTY PUBLIC LIBRARY,"58 Doris Ave E, Jacksonville, NC 28540, USA",34.7778256,-77.42082,"58 Doris Ave E, Jacksonville, NC 28540, USA",Match,Google
OLD COLONY LIBRARY NETWORK,"220 Forbes Rd, Braintree, MA 02184, USA",42.21911,-71.035613,"220 Forbes Rd, Braintree, MA 02184, USA",Match,Google
OCEAN COUNTY LIBRARY,"101 Washington St, Toms River, NJ 08753, USA",39.9523537,-74.1957355,"101 Washington St, Toms River, NJ 08753, USA",Match,Google
COLUMBUS METROPOLITAN LIBRARY OCORM,"511 S Hague Ave, Columbus, OH 43204, USA",39.9447736,-83.0733812,"511 S Hague Ave, Columbus, OH 43204, USA",Partial Match,Google
PUBLIC LIBRARY OF CINCINNATI/HAMILTON COUNTY,"7450 State Rd, Cincinnati, OH 45230, USA",39.0850121,-84.3522206,"7450 State Rd, Cincinnati, OH 45230, USA",Match,Google
CINCINNATI STATE TECHNICAL AND COMMUNITY COLLEGE LIBRARY,"170 Main Building, 3520 Central Pkwy, Cincinnati, OH 45223, United States",39.1499185,-84.5369451,"170 Main Building, 3520 Central Pkwy, Cincinnati, OH 45223, United States",Match,Google
UNIVERSITY OF THE WITWATERSRAND (0730),"1 Jan Smuts Ave, Johannesburg, 2000, South Africa",-26.1916888,28.0327614,"1 Jan Smuts Ave, Johannesburg, 2000, South Africa",Match,Google
STATE LIBRARY OF OHIO,"274 E 1st Ave #100, Columbus, OH 43201, USA",39.9811221,-82.9965616,"274 E 1st Ave #100, Columbus, OH 43201, USA",Match,Google
OKLAHOMA DEPARTMENT OF LIBRARIES,"200 NE 18th St, Oklahoma City, OK 73105, USA",35.487946,-97.5077929,"200 NE 18th St, Oklahoma City, OK 73105, USA",Match,Google
UNIVERSITY OF OKLAHOMA HEALTH SCIENCE CENTER LIBRARY,"1105 N Stonewall Ave, Oklahoma City, OK 73117, USA",35.4795825,-97.4940923,"1105 N Stonewall Ave, Oklahoma City, OK 73117, USA",Match,Google
PIONEER LIBRARY SYSTEM,"225 N Webster Ave, Norman, OK 73069, USA",35.2210802,-97.4471037,"225 N Webster Ave, Norman, OK 73069, USA",Match,Google
UNIVERSITY OF OKLAHOMA,"660 Parrington Oval, Norman, OK 73019, USA",35.2058936,-97.4457137,"660 Parrington Oval, Norman, OK 73019, USA",Match,Google
OKLAHOMA CITY UNIVERSITY LAW LIBRARY,"800 N Harvey Ave, Oklahoma City, OK 73102, USA",35.4755852,-97.5169404,"800 N Harvey Ave, Oklahoma City, OK 73102, USA",Match,Google
LINFIELD COLLEGE/PORTLAND CAMPUS,"2255 NW Northrup St, Portland, OR 97210, USA",45.53141,-122.6975639,"2255 NW Northrup St, Portland, OR 97210, USA",Match,Google
LEWIS & CLARK COLLEGE,"0615 SW Palatine Hill Rd, Portland, OR 97219, USA",45.4490949,-122.670312,"0615 SW Palatine Hill Rd, Portland, OR 97219, USA",Match,Google
HOMER TOWNSHIP PUBLIC LIBRARY DISTRICT,"14320 W 151st St, Homer Glen, IL 60491, USA",41.6142597,-87.9674423,"14320 W 151st St, Homer Glen, IL 60491, USA",Match,Google
JOLIET PUBLIC LIBRARY,"150 N Ottawa St, Joliet, IL 60432, USA",41.5271303,-88.0822271,"150 N Ottawa St, Joliet, IL 60432, USA",Match,Google
PACIFIC UNIVERSITY,"2043 College Way, Forest Grove, OR 97116, USA",45.5209028,-123.1096408,"2043 College Way, Forest Grove, OR 97116, USA",Match,Google
PACIFIC LUTHERAN UNIVERSITY,"12180 Park Ave S, Tacoma, WA 98447, USA",47.1453532,-122.4440668,"12180 Park Ave S, Tacoma, WA 98447, USA",Match,Google
WESTLAKE PORTER PUBLIC LIBRARY,"27333 Center Ridge Rd, Westlake, OH 44145, USA",41.447729,-81.924646,"27333 Center Ridge Rd, Westlake, OH 44145, USA",Match,Google
PORTLAND COMMUNITY COLLEGE,"2305 SE 82nd Ave, Portland, OR 97216, USA",45.50658,-122.580217,"2305 SE 82nd Ave, Portland, OR 97216, USA",Match,Google
WASHINGTON COUNTY COOPERATIVE LIBRARY SERVICES,"111 NE Lincoln St, Hillsboro, OR 97124, USA",45.524195,-122.9892931,"111 NE Lincoln St, Hillsboro, OR 97124, USA",Match,Google
REED COLLEGE,"3203 SE Woodstock Blvd, Portland, OR 97202, USA",45.4809782,-122.6303724,"3203 SE Woodstock Blvd, Portland, OR 97202, USA",Match,Google
UNIVERSITY OF OREGON LIBRARY,"1585 E 13th Ave, Eugene, OR 97403, USA",44.0448302,-123.0726055,"1585 E 13th Ave, Eugene, OR 97403, USA",Match,Google
PORTLAND STATE UNIVERSITY LIBRARY,"1875 SW Park Ave, Portland, OR 97201, USA",45.5115796,-122.6860416,"1875 SW Park Ave, Portland, OR 97201, USA",Match,Google
SOUTHERN STATE COMMUNITY COLLEGE,"100 Hobart Dr, Hillsboro, OH 45133, USA",39.2364808,-83.6139477,"100 Hobart Dr, Hillsboro, OH 45133, USA",Match,Google
OREGON STATE LIBRARY,"201 SW Waldo Pl, Corvallis, OR 97331, USA",44.565074,-123.2760409,"201 SW Waldo Pl, Corvallis, OR 97331, USA",Match,Google
THE OHIO STATE UNIVERSITY,"Columbus, OH 43210, USA",40.0141905,-83.0309143,"Columbus, OH 43210, USA",Match,Google
OTTERBEIN COLLEGE,"1 S Grove St, Westerville, OH 43081, USA",40.1268746,-82.9371852,"1 S Grove St, Westerville, OH 43081, USA",Match,Google
ROGERS UNIVERSITY,"1701 W Will Rogers Blvd, Claremore, OK 74017, USA",36.3182518,-95.6406352,"1701 W Will Rogers Blvd, Claremore, OK 74017, USA",Match,Google
OKLAHOMA STATE UNIVERSITY OKLAHOMA CITY LIBRARY,"900 N Portland Ave, Oklahoma City, OK 73107, USA",35.4755979,-97.5820988,"900 N Portland Ave, Oklahoma City, OK 73107, USA",Match,Google
UNIVERSITY OF PORTLAND LIBRARY,"5000 N Willamette Blvd, Portland, OR 97203, USA",45.5728055,-122.7267515,"5000 N Willamette Blvd, Portland, OR 97203, USA",Match,Google
TULSA COMMUNITY COLLEGE,"3727 E Apache St, Tulsa, OK 74115, USA",36.1935335,-95.9377989,"3727 E Apache St, Tulsa, OK 74115, USA",Match,Google
WILLAMETTE UNIVERSITY,"900 State St, Salem, OR 97301, USA",44.9355088,-123.0299071,"900 State St, Salem, OR 97301, USA",Match,Google
DELEWARE VALLEY COLLEGE,"700 E Butler Ave, Doylestown, PA 18901, USA",40.2982282,-75.1599429,"700 E Butler Ave, Doylestown, PA 18901, USA",Partial Match,Google
GREENSBURG HEMPFIELD AREA LIBRARY,"237 S Pennsylvania Ave, Greensburg, PA 15601, USA",40.3003329,-79.5444113,"237 S Pennsylvania Ave, Greensburg, PA 15601, USA",Match,Google
UNIVERSITY OF THE ARTS,"333 S Broad St, Philadelphia, PA 19102, USA",39.9459207,-75.1649037,"333 S Broad St, Philadelphia, PA 19102, USA",Match,Google
UNIVERSITY OF PENNSYLVANIA LIBRARIES,"3420 Walnut St, Philadelphia, PA 19104, USA",39.9527236,-75.1940023,"3420 Walnut St, Philadelphia, PA 19104, USA",Match,Google
DAVIS COLLEGE,"4747 Monroe St, Toledo, OH 43623, USA",41.6925701,-83.6297633,"4747 Monroe St, Toledo, OH 43623, USA",Match,Google
BETHLEHEM AREA PUBLIC LIBRARY,"11 W Church St, Bethlehem, PA 18018, USA",40.6183089,-75.3790404,"11 W Church St, Bethlehem, PA 18018, USA",Match,Google
UNIVERSITY OF PUERTO RICO/RIO PIEDRAS CAMPUS,"Av. Dr. José N. Gándara, San Juan, 00931, Puerto Rico",18.4028091,-66.0500407,"Av. Dr. José N. Gándara, San Juan, 00931, Puerto Rico",Match,Google
BUCKNELL UNIVERSITY,"701 Moore Ave, Lewisburg, PA 17837, USA",40.9546869,-76.8835514,"701 Moore Ave, Lewisburg, PA 17837, USA",Match,Google
FRANKLIN COUNTY LIBRARY SYSTEM,"102 N Main St, Chambersburg, PA 17201, USA",39.9392752,-77.660626,"102 N Main St, Chambersburg, PA 17201, USA",Match,Google
OIL CREEK DISTRICT LIBRARY CENTER,"4653 S Campbell Ave, Springfield, MO 65810, USA",37.1303834,-93.298315,"4653 S Campbell Ave, Springfield, MO 65810, USA",Partial Match,Google
PHILADELPHIA UNIVERSITY,"4201 Henry Ave, Philadelphia, PA 19144, USA",40.0187208,-75.1922881,"4201 Henry Ave, Philadelphia, PA 19144, USA",Match,Google
JEFFERSON MADISON REGIONAL LIBRARY,"201 E Market St, Charlottesville, VA 22902, USA",38.031419,-78.479933,"201 E Market St, Charlottesville, VA 22902, USA",Match,Google
GENEVA COLLEGE,"3200 College Ave, Beaver Falls, PA 15010, USA",40.7713156,-80.3218472,"3200 College Ave, Beaver Falls, PA 15010, USA",Match,Google
MESSIAH COLLEGE,"One College Ave, Mechanicsburg, PA 17055, USA",40.1579079,-76.9882272,"One College Ave, Mechanicsburg, PA 17055, USA",Match,Google
UNIVERSITY OF SOUTHERN MAINE,"96 Falmouth St, Portland, ME 04103, USA",43.6622484,-70.2756936,"96 Falmouth St, Portland, ME 04103, USA",Match,Google
GANNON UNIVERSITY,"109 University Square, Erie, PA 16541, USA",42.1282445,-80.0865882,"109 University Square, Erie, PA 16541, USA",Match,Google
UNIVERSITY OF PITTSBURGH,"4200 Fifth Ave, Pittsburgh, PA 15260, USA",40.4443533,-79.960835,"4200 Fifth Ave, Pittsburgh, PA 15260, USA",Match,Google
JUNIATA COLLEGE,"1700 Moore St, Huntingdon, PA 16652, USA",40.500703,-78.0147549,"1700 Moore St, Huntingdon, PA 16652, USA",Match,Google
LAROCHE COLLEGE,"9000 Babcock Blvd, Pittsburgh, PA 15237, USA",40.5683018,-80.0140875,"9000 Babcock Blvd, Pittsburgh, PA 15237, USA",Match,Google
CARNEGIE MELLON UNIVERSITY,"5000 Forbes Ave, Pittsburgh, PA 15213, USA",40.4428081,-79.9430128,"5000 Forbes Ave, Pittsburgh, PA 15213, USA",Match,Google
POTTSVILLE FREE PUBLIC LIBRARY,"215 W Market St, Pottsville, PA 17901, USA",40.6849417,-76.1969176,"215 W Market St, Pottsville, PA 17901, USA",Match,Google
PORTLAND PUBLIC LIBRARY,"5 Monument Way, Portland, ME 04101, USA",43.6576847,-70.2591467,"5 Monument Way, Portland, ME 04101, USA",Match,Google
PRINCETON PUBLIC LIBRARY,"65 Witherspoon St, Princeton, NJ 08542, USA",40.351615,-74.660262,"65 Witherspoon St, Princeton, NJ 08542, USA",Match,Google
PROVIDENCE COLLEGE,"1 Cunningham Square, Providence, RI 02918, USA",41.8440925,-71.4381653,"1 Cunningham Square, Providence, RI 02918, USA",Match,Google
SAINT FRANCIS UNIVERSITY,"117 Evergreen Drive, Loretto, PA 15940, USA",40.50382,-78.6376191,"117 Evergreen Drive, Loretto, PA 15940, USA",Match,Google
PLYMOUTH STATE UNIVERSITY,"17 High St, Plymouth, NH 03264, USA",43.7595034,-71.6882543,"17 High St, Plymouth, NH 03264, USA",Match,Google
SAINT VINCENT COLLEGE,"300 Fraser Purchase Rd, Latrobe, PA 15650, USA",40.2914205,-79.4003653,"300 Fraser Purchase Rd, Latrobe, PA 15650, USA",Match,Google
TRINITY EPISCOPAL SCHOOL FOR MINISTRY LIBRARY,"99 11th St, Ambridge, PA 15003, USA",40.593042,-80.231824,"99 11th St, Ambridge, PA 15003, USA",Match,Google
POINT PARK UNIVERSITY,"201 Wood St, Pittsburgh, PA 15222, USA",40.4385028,-80.0012691,"201 Wood St, Pittsburgh, PA 15222, USA",Match,Google
WAYNESBURG COLLEGE,"51 W College St, Waynesburg, PA 15370, USA",39.8992112,-80.1866266,"51 W College St, Waynesburg, PA 15370, USA",Match,Google
CHESTER COUNTY LIBRARY & DISTRICT CENTER,"450 Exton Square Pkwy, Exton, PA 19341, USA",40.0321235,-75.620791,"450 Exton Square Pkwy, Exton, PA 19341, USA",Match,Google
WESTINGHOUSE ELEC CORP R&D CENTER LIBRARY,,,,,No Match,Google
MARTIN LIBRARY,"2601 S Garnett Rd, Tulsa, OK 74129, USA",36.12651,-95.8503539,"2601 S Garnett Rd, Tulsa, OK 74129, USA",Match,Google
INDIANA UNIVERSITY OF PENNSYLVANIA,"1011 South Drive, Indiana, PA 15705, USA",40.6140124,-79.1614669,"1011 South Drive, Indiana, PA 15705, USA",Match,Google
JUNEAU PUBLIC LIBRARY,"250 N Fairfield Ave, Juneau, WI 53039, USA",43.4087194,-88.7083037,"250 N Fairfield Ave, Juneau, WI 53039, USA",Match,Google
VANJ HEALTH CARE SYSTEM E ORANGE CAMPUS,"385 Tremont Ave, East Orange, NJ 07018, USA",40.7525462,-74.2361355,"385 Tremont Ave, East Orange, NJ 07018, USA",Partial Match,Google
NEW CASTLE PUBLIC LIBRARY,"705 NW 10th St, Newcastle, OK 73065, USA",35.2564812,-97.608198,"705 NW 10th St, Newcastle, OK 73065, USA",Match,Google
JEFFERSON COUNTY PUBLIC LIBRARY,"10200 W 20th Ave, Lakewood, CO 80215, USA",39.7470415,-105.1132838,"10200 W 20th Ave, Lakewood, CO 80215, USA",Match,Google
MERCYHURST COLLEGE,"501 E 38th St, Erie, PA 16546, USA",42.1050703,-80.0536593,"501 E 38th St, Erie, PA 16546, USA",Match,Google
MONTGOMERY COUNTY LIBRARY,"18330 Montgomery Village Ave, Gaithersburg, MD 20879, USA",39.1582271,-77.2053356,"18330 Montgomery Village Ave, Gaithersburg, MD 20879, USA",Match,Google
ALBUQUERQUE PUBLIC LIBRARY,"501 Copper Ave NW, Albuquerque, NM 87102, USA",35.086062,-106.653216,"501 Copper Ave NW, Albuquerque, NM 87102, USA",Match,Google
WEST CHESTER UNIVERSITY,"700 S High St, West Chester, PA 19383, USA",39.9518653,-75.5999933,"700 S High St, West Chester, PA 19383, USA",Match,Google
CONCORD PUBLIC LIBRARY,"45 Green St, Concord, NH 03301, USA",43.2066825,-71.5403811,"45 Green St, Concord, NH 03301, USA",Match,Google
BROWN UNIVERSITY,"Providence, RI 02912, USA",41.8267718,-71.4025482,"Providence, RI 02912, USA",Match,Google
RHODE ISLAND COLLEGE,"600 Mt Pleasant Ave, Providence, RI 02908, USA",41.842207,-71.461204,"600 Mt Pleasant Ave, Providence, RI 02908, USA",Match,Google
RHODE ISLAND OFFICE OF LIBRARY AND INFORMATION SERVICES,"1 Capitol Hill, Providence, RI 02908, USA",41.8330677,-71.4153726,"1 Capitol Hill, Providence, RI 02908, USA",Match,Google
CLARION UNIVERSITY OF PENNSYLVANIA,"840 Wood St, Clarion, PA 16214, USA",41.2089191,-79.3787136,"840 Wood St, Clarion, PA 16214, USA",Match,Google
REGIS COLLEGE,"235 Wellesley St, Weston, MA 02493, USA",42.3502721,-71.3076196,"235 Wellesley St, Weston, MA 02493, USA",Match,Google
EASTMAN SCHOOL OF MUSIC,"26 Gibbs St, Rochester, NY 14604, USA",43.1578093,-77.6010301,"26 Gibbs St, Rochester, NY 14604, USA",Match,Google
UNIVERSITY OF RHODE ISLAND,"45 Upper College Rd, Kingston, RI 02881, USA",41.4860647,-71.5308537,"45 Upper College Rd, Kingston, RI 02881, USA",Match,Google
PIERCE COUNTY LIBRARY SYSTEM,"3005 112th St E, Tacoma, WA 98446, USA",47.1555376,-122.3869925,"3005 112th St E, Tacoma, WA 98446, USA",Match,Google
UNIVERSITY OF ROCHESTER MEDICAL CENTER,"601 Elmwood Ave, Rochester, NY 14642, USA",43.1230503,-77.6269403,"601 Elmwood Ave, Rochester, NY 14642, USA",Match,Google
READING PUBLIC LIBRARY,"2534, 2534, 64 Middlesex Ave, Reading, MA 01867, United States",42.526105,-71.1102614,"2534, 2534, 64 Middlesex Ave, Reading, MA 01867, United States",Match,Google
CENTRAL RAPPAHANNOCK REGIONAL LIBRARY,"1201 Caroline St, Fredericksburg, VA 22401, USA",38.306006,-77.460772,"1201 Caroline St, Fredericksburg, VA 22401, USA",Match,Google
RYERSON UNIVERSITY,"350 Victoria St, Toronto, ON M5B 2K3, Canada",43.6576585,-79.3788017,"350 Victoria St, Toronto, ON M5B 2K3, Canada",Match,Google
UNIVERSITY OF ROCHESTER,"Rochester, NY, USA",43.1305531,-77.6260033,"Rochester, NY, USA",Match,Google
RUSSELL SAGE FOUNDATION LIBRARY,"112 E 64th St, New York, NY 10065, USA",40.7656174,-73.966974,"112 E 64th St, New York, NY 10065, USA",Match,Google
RAND LIBRARY,"1776 Main St, Santa Monica, CA 90401, USA",34.0096038,-118.4907507,"1776 Main St, Santa Monica, CA 90401, USA",Match,Google
NORTH COUNTRY LIBRARY SYSTEM,"22072 County Rd 190, Watertown, NY 13601, USA",43.9937913,-75.9303752,"22072 County Rd 190, Watertown, NY 13601, USA",Match,Google
ROBERTS WESLEYAN COLLEGE,"2301 Westside Dr, Rochester, NY 14624, USA",43.12574,-77.798531,"2301 Westside Dr, Rochester, NY 14624, USA",Match,Google
ROCHESTER GENERAL HOSPITAL LIBRARY,"Rochester General Hospital, 1425 Portland Ave, Rochester, NY 14621, USA",43.1930205,-77.5867238,"Rochester General Hospital, 1425 Portland Ave, Rochester, NY 14621, USA",Match,Google
ROCHESTER INSTITUTE OF TECHNOLOGY LIBRARY,"90 Lomb Memorial Dr, Rochester, NY 14623, USA",43.0837296,-77.6762978,"90 Lomb Memorial Dr, Rochester, NY 14623, USA",Match,Google
ROGER WILLIAMS UNIVERSITY,"1 Old Ferry Rd, Bristol, RI 02809, USA",41.6510618,-71.2594597,"1 Old Ferry Rd, Bristol, RI 02809, USA",Match,Google
ROXBURY COMMUNITY COLLEGE,"1234 Columbus Ave, Roxbury Crossing, MA 02120, USA",42.329242,-71.095479,"1234 Columbus Ave, Roxbury Crossing, MA 02120, USA",Match,Google
SOUTHWESTERN ASSEMBLIES OF GOD UNIVERSITY,"1200 Sycamore St, Waxahachie, TX 75165, USA",32.4064143,-96.8529436,"1200 Sycamore St, Waxahachie, TX 75165, USA",Match,Google
SAINT ANSELM COLLEGE,"100 St Anselm Dr, Manchester, NH 03102, USA",42.9874723,-71.5072307,"100 St Anselm Dr, Manchester, NH 03102, USA",Match,Google
SOUTHWEST RESEARCH INSTITUTE,"2701 Liberty Pkwy #302, Midwest City, OK 73110, USA",35.4376635,-97.4227571,"2701 Liberty Pkwy #302, Midwest City, OK 73110, USA",Match,Google
SAN ANTONIO PUBLIC LIBRARY,"5110 Walzem Rd, San Antonio, TX 78218, USA",29.5091095,-98.3891762,"5110 Walzem Rd, San Antonio, TX 78218, USA",Match,Google
OUR LADY OF THE LAKE UNIVERSITY,"411 SW 24th St, San Antonio, TX 78207, USA",29.4264099,-98.5433654,"411 SW 24th St, San Antonio, TX 78207, USA",Match,Google
UNIVERSITY OF THE INCARNATE WORD,"4301 Broadway St, San Antonio, TX 78209, USA",29.4675939,-98.4676217,"4301 Broadway St, San Antonio, TX 78209, USA",Match,Google
SIMMONS COLLEGE,"300 Fenway, Boston, MA 02115, USA",42.3393661,-71.0999358,"300 Fenway, Boston, MA 02115, USA",Match,Google
AUGUSTANA COLLEGE LIBRARY,"3435 9 1/2 Ave, Rock Island, IL 61201, USA",41.5023058,-90.5501394,"3435 9 1/2 Ave, Rock Island, IL 61201, USA",Match,Google
SOUTH DAKOTA STATE UNIVERSITY,"Brookings, SD 57007, USA",44.3189457,-96.783968,"Brookings, SD 57007, USA",Match,Google
SUFFOLK COOPERATIVE LIBRARY SYSTEM,"627 Sunrise Hwy, Bellport, NY 11713, USA",40.7889548,-72.960831,"627 Sunrise Hwy, Bellport, NY 11713, USA",Match,Google
CLEMSON UNIVERSITY,"Clemson, SC 29634, USA",34.6760942,-82.8364148,"Clemson, SC 29634, USA",Match,Google
SPRINGFIELD TECHNCIAL COMMUNITY COLLEGE,"1 Armory Square, Springfield, MA 01105, USA",42.1088022,-72.578502,"1 Armory Square, Springfield, MA 01105, USA",Match,Google
FRANCIS MARION UNIVERSITY JAMES A ROGERS LIBRARY,"4822 E Palmetto St, Florence, SC 29506, USA",34.1894979,-79.6528955,"4822 E Palmetto St, Florence, SC 29506, USA",Match,Google
FURMAN UNIVERSITY,"3300 Poinsett Hwy, Greenville, SC 29613, USA",34.9260157,-82.4400724,"3300 Poinsett Hwy, Greenville, SC 29613, USA",Match,Google
INDIANA ST LIBRARY,"315 W Ohio St, Indianapolis, IN 46202, USA",39.7696758,-86.164193,"315 W Ohio St, Indianapolis, IN 46202, USA",Match,Google
SHAKER HEIGHTS PUBLIC LIBRARY,"Shaker Heights, OH 44122, USA",41.476738,-81.535296,"Shaker Heights, OH 44122, USA",Match,Google
SACRED HEART UNIVERSITY LIBRARY,"Fairfield, CT 06825, USA",41.2228658,-73.2428248,"Fairfield, CT 06825, USA",Match,Google
SCHOOL FOR INTERNATIONAL TRAINING,"1 Kipling Rd, Brattleboro, VT 05301, USA",42.8910382,-72.566572,"1 Kipling Rd, Brattleboro, VT 05301, USA",Match,Google
SIUSLAW PUBLIC LIBRARY DISTRICT,"1460 9th St, Florence, OR 97439, USA",43.9744312,-124.1056553,"1460 9th St, Florence, OR 97439, USA",Match,Google
SAINT JOSEPHS UNIVERSITY,"245 Clinton Ave, Brooklyn, NY 11205, USA",40.690509,-73.9677729,"245 Clinton Ave, Brooklyn, NY 11205, USA",Partial Match,Google
WILLIAM JESSUP UNIVERSITY,"2121 University Ave, Rocklin, CA 95765, USA",38.8204128,-121.2924931,"2121 University Ave, Rocklin, CA 95765, USA",Match,Google
SAINT MICHAELS COLLEGE,"86 Place Saint Michel, Colchester, VT 05446, USA",44.4959022,-73.1645995,"86 Place Saint Michel, Colchester, VT 05446, USA",Partial Match,Google
UNIVERSITY OF MASSACHUSETTS DARTMOUTH LIBRARY,"285 Old Westport Rd, Dartmouth, MA 02747, USA",41.6308902,-71.0067053,"285 Old Westport Rd, Dartmouth, MA 02747, USA",Match,Google
GATEWAY COMMUNITY TECHNICAL COLLEGE,"790 Thomas More Pkwy, Edgewood, KY 41017, USA",39.0133577,-84.5580473,"790 Thomas More Pkwy, Edgewood, KY 41017, USA",Match,Google
WELD LIBRARY DISTRICT,"400 Powers St, Erie, CO 80516, USA",40.0380276,-105.0512529,"400 Powers St, Erie, CO 80516, USA",Match,Google
RARITAN VALLEY COMMUNITY COLLEGE,"118 Lamington Rd, Branchburg, NJ 08876, USA",40.6095258,-74.6888942,"118 Lamington Rd, Branchburg, NJ 08876, USA",Match,Google
SOMERSET COUNTY LIBRARY,"1 Vogt Dr, Bridgewater, NJ 08807, USA",40.588351,-74.607572,"1 Vogt Dr, Bridgewater, NJ 08807, USA",Match,Google
SPARTANBURG COUNTY PUBLIC LIBRARY,"151 S Church St Ext, Spartanburg, SC 29306, USA",34.9482922,-81.9304458,"151 S Church St Ext, Spartanburg, SC 29306, USA",Match,Google
SHIPPENSBURG UNIVERSITY,"1871 Old Main Dr, Shippensburg, PA 17257, USA",40.0603939,-77.5234365,"1871 Old Main Dr, Shippensburg, PA 17257, USA",Match,Google
SEO LIBRARY CENTER,"40780 Marietta Rd, Caldwell, OH 43724, USA",39.6862967,-81.4959052,"40780 Marietta Rd, Caldwell, OH 43724, USA",Match,Google
UNIVERSITY OF SCRANTON,"800 Linden St, Scranton, PA 18510, USA",41.4061619,-75.6569241,"800 Linden St, Scranton, PA 18510, USA",Match,Google
STRATFORD LIBRARY ASSOCIATION,"2203 Main St, Stratford, CT 06615, USA",41.1906537,-73.1311803,"2203 Main St, Stratford, CT 06615, USA",Match,Google
SALISBURY UNIVERSITY,"1101 Camden Ave, Salisbury, MD 21801, USA",38.345073,-75.6046968,"1101 Camden Ave, Salisbury, MD 21801, USA",Match,Google
SALEM STATE COLLEGE,"352 Lafayette St, Salem, MA 01970, USA",42.503103,-70.890682,"352 Lafayette St, Salem, MA 01970, USA",Match,Google
SANTA CLARA UNIVERSITY,"500 El Camino Real, Santa Clara, CA 95053, USA",37.3496418,-121.9389875,"500 El Camino Real, Santa Clara, CA 95053, USA",Match,Google
STOW-MUNROE FALLS PUBLIC LIBRARY,"3512 Darrow Rd, Stow, OH 44224, USA",41.1608261,-81.440856,"3512 Darrow Rd, Stow, OH 44224, USA",Match,Google
SETON HALL UNIVERSITY,"400 S Orange Ave, South Orange, NJ 07079, USA",40.7425521,-74.2464941,"400 S Orange Ave, South Orange, NJ 07079, USA",Match,Google
COLLEGE OF SAINT MARY LIBRARY,"7000 Mercy Rd, Omaha, NE 68106, USA",41.2399516,-96.0216555,"7000 Mercy Rd, Omaha, NE 68106, USA",Match,Google
STONEHILL COLLEGE LIBRARY,"320 Washington St, North Easton, MA 02357, USA",42.0590781,-71.0804059,"320 Washington St, North Easton, MA 02357, USA",Match,Google
SAINT PETERS UNIVERSITY LIBRARY,"Jersey City, NJ 07306, USA",40.7275873,-74.0717784,"Jersey City, NJ 07306, USA",Match,Google
UNIVERSITY OF SOUTH CAROLINA,"Columbia, SC 29208, USA",33.996112,-81.0274276,"Columbia, SC 29208, USA",Match,Google
SUL ROSS STATE UNIVERSITY LIBRARY,"400 N Harrison St, Alpine, TX 79830, USA",30.3628501,-103.6523175,"400 N Harrison St, Alpine, TX 79830, USA",Match,Google
SAINT LOUIS PUBLIC LIBRARY,"815 Olive St, St. Louis, MO 63101, USA",38.6292407,-90.1926229,"815 Olive St, St. Louis, MO 63101, USA",Match,Google
ST VLADIMIRS ORTHODOX THEOLOGICAL SEMINARY,"575 Scarsdale Rd, Yonkers, NY 10707, USA",40.9693118,-73.8245546,"575 Scarsdale Rd, Yonkers, NY 10707, USA",Match,Google
SYRACUSE UNIVERSITY,"Syracuse, NY, USA",43.0391534,-76.1351158,"Syracuse, NY, USA",Match,Google
SYRACUSE UNIVERSITY COLLEGE OF LAW LIBRARY,"950 Irving Ave, Syracuse, NY 13244, USA",43.0363242,-76.1387351,"950 Irving Ave, Syracuse, NY 13244, USA",Match,Google
UNIVERSIDAD DE TALCA,"Av Lircay, Talca, Región del Maule, Chile",-35.4041282,-71.6358479,"Av Lircay, Talca, Región del Maule, Chile",Match,Google
BELMONT UNIVERSITY,"1900 Belmont Blvd, Nashville, TN 37212, USA",36.1328981,-86.7940699,"1900 Belmont Blvd, Nashville, TN 37212, USA",Match,Google
